table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
,,2020,2021
United States,331449281,331501080,331893745
.In Metropolitan Statistical Area,286104556,286195308,286472775
".Abilene, TX Metro Area",176579,176809,177314
".Akron, OH Metro Area",702219,701305,700015
".Albany, GA Metro Area",148922,148417,147773
".Albany-Lebanon, OR Metro Area",128610,128936,129839
".Albany-Schenectady-Troy, NY Metro Area",899262,898561,899286
".Albuquerque, NM Metro Area",916528,917179,918259
".Alexandria, LA Metro Area",152192,151736,150890
".Allentown-Bethlehem-Easton, PA-NJ Metro Area",861889,861705,865310
".Altoona, PA Metro Area",122822,122518,121767
".Amarillo, TX Metro Area",268691,268820,269703
".Ames, IA Metro Area",125252,125306,126195
".Anchorage, AK Metro Area",398328,398097,398807
".Ann Arbor, MI Metro Area",372258,371656,369390
".Anniston-Oxford, AL Metro Area",116441,116266,115972
".Appleton, WI Metro Area",243147,243308,244084
".Asheville, NC Metro Area",469015,469454,472341
".Athens-Clarke County, GA Metro Area",215415,215638,217759
".Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6089815,6101146,6144050
".Atlantic City-Hammonton, NJ Metro Area",274534,274191,274966
".Auburn-Opelika, AL Metro Area",174241,174601,177218
".Augusta-Richmond County, GA-SC Metro Area",611000,611720,615933
".Austin-Round Rock-Georgetown, TX Metro Area",2283371,2299125,2352426
".Bakersfield, CA Metro Area",909235,909997,917673
".Baltimore-Columbia-Towson, MD Metro Area",2844510,2841691,2838327
".Bangor, ME Metro Area",152199,152007,152765
".Barnstable Town, MA Metro Area",228996,228969,232411
".Baton Rouge, LA Metro Area",870569,870178,871905
".Battle Creek, MI Metro Area",134310,134113,133819
".Bay City, MI Metro Area",103856,103594,102985
".Beaumont-Port Arthur, TX Metro Area",397565,396958,395419
".Beckley, WV Metro Area",115079,114707,113698
".Bellingham, WA Metro Area",226847,227304,228831
".Bend, OR Metro Area",198253,199355,204801
".Billings, MT Metro Area",184167,184567,187037
".Binghamton, NY Metro Area",247138,246554,245220
".Birmingham-Hoover, AL Metro Area",1115289,1114710,1114262
".Bismarck, ND Metro Area",133626,133666,134417
".Blacksburg-Christiansburg, VA Metro Area",166378,166111,165293
".Bloomington, IL Metro Area",170954,170870,170889
".Bloomington, IN Metro Area",161039,160815,161321
".Bloomsburg-Berwick, PA Metro Area",82863,82782,82959
".Boise City, ID Metro Area",764718,769581,795268
".Boston-Cambridge-Newton, MA-NH Metro Area",4941632,4936511,4899932
"..Boston, MA Metro Division",2054736,2052435,2028753
"..Cambridge-Newton-Framingham, MA Metro Division",2441831,2438640,2421816
"..Rockingham County-Strafford County, NH Metro Division",445065,445436,449363
".Boulder, CO Metro Area",330758,330811,329543
".Bowling Green, KY Metro Area",179639,179978,182594
".Bremerton-Silverdale-Port Orchard, WA Metro Area",275611,275660,274314
".Bridgeport-Stamford-Norwalk, CT Metro Area",957419,955895,959768
".Brownsville-Harlingen, TX Metro Area",421017,421191,423029
".Brunswick, GA Metro Area",113495,113492,113963
".Buffalo-Cheektowaga, NY Metro Area",1166902,1165506,1162336
".Burlington, NC Metro Area",171415,171842,173877
".Burlington-South Burlington, VT Metro Area",225562,225563,226611
".California-Lexington Park, MD Metro Area",113777,113953,114468
".Canton-Massillon, OH Metro Area",401574,401046,400525
".Cape Coral-Fort Myers, FL Metro Area",760822,764679,787976
".Cape Girardeau, MO-IL Metro Area",97517,97481,97699
".Carbondale-Marion, IL Metro Area",133435,133297,132907
".Carson City, NV Metro Area",58639,58677,58993
".Casper, WY Metro Area",79955,80229,79555
".Cedar Rapids, IA Metro Area",276520,276446,275435
".Chambersburg-Waynesboro, PA Metro Area",155932,155874,156289
".Champaign-Urbana, IL Metro Area",222538,222123,222696
".Charleston, WV Metro Area",258859,257840,255020
".Charleston-North Charleston, SC Metro Area",799636,802961,813052
".Charlotte-Concord-Gastonia, NC-SC Metro Area",2660329,2669665,2701046
".Charlottesville, VA Metro Area",221524,221522,222688
".Chattanooga, TN-GA Metro Area",562647,563599,567641
".Cheyenne, WY Metro Area",100512,100690,100863
".Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9618502,9601605,9509934
"..Chicago-Naperville-Evanston, IL Metro Division",7267535,7252081,7159394
"..Elgin, IL Metro Division",748811,748679,750869
"..Gary, IN Metro Division",718663,718555,719700
"..Lake County-Kenosha County, IL-WI Metro Division",883493,882290,879971
".Chico, CA Metro Area",211632,210083,208309
".Cincinnati, OH-KY-IN Metro Area",2256884,2257667,2259935
".Clarksville, TN-KY Metro Area",320535,321607,328304
".Cleveland, TN Metro Area",126164,126310,127938
".Cleveland-Elyria, OH Metro Area",2088251,2085357,2075662
".Coeur d'Alene, ID Metro Area",171362,172646,179789
".College Station-Bryan, TX Metro Area",268248,268864,272041
".Colorado Springs, CO Metro Area",755105,756573,762793
".Columbia, MO Metro Area",210864,211127,213123
".Columbia, SC Metro Area",829470,830767,838250
".Columbus, GA-AL Metro Area",328883,329141,327536
".Columbus, IN Metro Area",82208,82157,82475
".Columbus, OH Metro Area",2138926,2141042,2151017
".Corpus Christi, TX Metro Area",421933,421862,422778
".Corvallis, OR Metro Area",95184,95167,96017
".Crestview-Fort Walton Beach-Destin, FL Metro Area",286973,287664,293324
".Cumberland, MD-WV Metro Area",95044,94824,94586
".Dallas-Fort Worth-Arlington, TX Metro Area",7637387,7662325,7759615
"..Dallas-Plano-Irving, TX Metro Division",5129966,5148585,5217380
"..Fort Worth-Arlington-Grapevine, TX Metro Division",2507421,2513740,2542235
".Dalton, GA Metro Area",142837,142665,142799
".Danville, IL Metro Area",74188,73883,73095
".Daphne-Fairhope-Foley, AL Metro Area",231767,233140,239294
".Davenport-Moline-Rock Island, IA-IL Metro Area",384324,383526,381568
".Dayton-Kettering, OH Metro Area",814049,813475,813516
".Decatur, AL Metro Area",156494,156399,156758
".Decatur, IL Metro Area",103998,103647,102432
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area",668921,670869,685344
".Denver-Aurora-Lakewood, CO Metro Area",2963821,2969289,2972566
".Des Moines-West Des Moines, IA Metro Area",709466,710843,719146
".Detroit-Warren-Dearborn, MI Metro Area",4392041,4385748,4365205
"..Detroit-Dearborn-Livonia, MI Metro Division",1793561,1790225,1774816
"..Warren-Troy-Farmington Hills, MI Metro Division",2598480,2595523,2590389
".Dothan, AL Metro Area",151007,151032,151618
".Dover, DE Metro Area",181851,182256,184149
".Dubuque, IA Metro Area",99266,99229,98718
".Duluth, MN-WI Metro Area",291638,291278,290780
".Durham-Chapel Hill, NC Metro Area",649903,651192,654012
".East Stroudsburg, PA Metro Area",168327,168248,169273
".Eau Claire, WI Metro Area",172007,172097,173317
".El Centro, CA Metro Area",179702,179489,179851
".Elizabethtown-Fort Knox, KY Metro Area",155572,155570,156766
".Elkhart-Goshen, IN Metro Area",207047,206842,206921
".Elmira, NY Metro Area",84148,83882,83045
".El Paso, TX Metro Area",868859,869289,871234
".Enid, OK Metro Area",62846,62629,61926
".Erie, PA Metro Area",270876,270427,269011
".Eugene-Springfield, OR Metro Area",382971,382940,383189
".Evansville, IN-KY Metro Area",314049,313930,313946
".Fairbanks, AK Metro Area",95655,95286,95593
".Fargo, ND-MN Metro Area",249843,250219,252136
".Farmington, NM Metro Area",121661,121429,120993
".Fayetteville, NC Metro Area",520378,520354,524588
".Fayetteville-Springdale-Rogers, AR Metro Area",546725,549566,560709
".Flagstaff, AZ Metro Area",145101,145116,145052
".Flint, MI Metro Area",406211,405648,404208
".Florence, SC Metro Area",199964,199638,199259
".Florence-Muscle Shoals, AL Metro Area",150791,150846,151517
".Fond du Lac, WI Metro Area",104154,104076,104362
".Fort Collins, CO Metro Area",359066,359686,362533
".Fort Smith, AR-OK Metro Area",244310,244223,245459
".Fort Wayne, IN Metro Area",419601,420208,423038
".Fresno, CA Metro Area",1008654,1008966,1013581
".Gadsden, AL Metro Area",103436,103393,103162
".Gainesville, FL Metro Area",339247,339663,341756
".Gainesville, GA Metro Area",203136,203589,207369
".Gettysburg, PA Metro Area",103852,103795,104127
".Glens Falls, NY Metro Area",127039,126781,126574
".Goldsboro, NC Metro Area",117333,117226,116835
".Grand Forks, ND-MN Metro Area",104362,104113,103462
".Grand Island, NE Metro Area",77038,76885,76175
".Grand Junction, CO Metro Area",155703,155939,157335
".Grand Rapids-Kentwood, MI Metro Area",1087592,1088203,1091620
".Grants Pass, OR Metro Area",88090,88105,88346
".Great Falls, MT Metro Area",84414,84328,84511
".Greeley, CO Metro Area",328981,331358,340036
".Green Bay, WI Metro Area",328268,328323,329490
".Greensboro-High Point, NC Metro Area",776566,776761,778848
".Greenville, NC Metro Area",170243,170570,172169
".Greenville-Anderson, SC Metro Area",928195,930165,940774
".Gulfport-Biloxi, MS Metro Area",416259,416312,418082
".Hagerstown-Martinsburg, MD-WV Metro Area",293844,294277,298227
".Hammond, LA Metro Area",133157,133549,135217
".Hanford-Corcoran, CA Metro Area",152486,152627,153443
".Harrisburg-Carlisle, PA Metro Area",591712,592361,596305
".Harrisonburg, VA Metro Area",135571,135433,135824
".Hartford-East Hartford-Middletown, CT Metro Area",1213531,1211505,1211906
".Hattiesburg, MS Metro Area",172231,172287,173078
".Hickory-Lenoir-Morganton, NC Metro Area",365276,365235,366441
".Hilton Head Island-Bluffton, SC Metro Area",215908,216764,222072
".Hinesville, GA Metro Area",81424,81507,82863
".Homosassa Springs, FL Metro Area",153843,154403,158083
".Hot Springs, AR Metro Area",100180,100162,100330
".Houma-Thibodaux, LA Metro Area",207137,206814,206212
".Houston-The Woodlands-Sugar Land, TX Metro Area",7122240,7137747,7206841
".Huntington-Ashland, WV-KY-OH Metro Area",359862,359100,356581
".Huntsville, AL Metro Area",491723,494018,502728
".Idaho Falls, ID Metro Area",157429,158258,162786
".Indianapolis-Carmel-Anderson, IN Metro Area",2111040,2113700,2126804
".Iowa City, IA Metro Area",175419,175495,177239
".Ithaca, NY Metro Area",105740,105404,105162
".Jackson, MI Metro Area",160366,160200,160050
".Jackson, MS Metro Area",591978,590626,587202
".Jackson, TN Metro Area",180504,180383,180799
".Jacksonville, FL Metro Area",1605848,1611388,1637666
".Jacksonville, NC Metro Area",204576,204735,206160
".Janesville-Beloit, WI Metro Area",163687,163643,164381
".Jefferson City, MO Metro Area",150309,150199,150706
".Johnson City, TN Metro Area",207285,207262,208068
".Johnstown, PA Metro Area",133472,132957,132167
".Jonesboro, AR Metro Area",134196,134469,134878
".Joplin, MO Metro Area",181409,181379,182541
".Kahului-Wailuku-Lahaina, HI Metro Area",164754,164655,164221
".Kalamazoo-Portage, MI Metro Area",261670,261629,261108
".Kankakee, IL Metro Area",107502,107236,106601
".Kansas City, MO-KS Metro Area",2192035,2193578,2199490
".Kennewick-Richland, WA Metro Area",303622,304306,308293
".Killeen-Temple, TX Metro Area",475367,476784,486101
".Kingsport-Bristol, TN-VA Metro Area",307614,307406,308661
".Kingston, NY Metro Area",181851,181687,182951
".Knoxville, TN Metro Area",879773,881628,893412
".Kokomo, IN Metro Area",83658,83619,83687
".La Crosse-Onalaska, WI-MN Metro Area",139627,139670,139211
".Lafayette, LA Metro Area",478384,478077,479212
".Lafayette-West Lafayette, IN Metro Area",223716,223679,224709
".Lake Charles, LA Metro Area",222402,222035,210362
".Lake Havasu City-Kingman, AZ Metro Area",213267,214070,217692
".Lakeland-Winter Haven, FL Metro Area",725046,729233,753520
".Lancaster, PA Metro Area",552984,552597,553652
".Lansing-East Lansing, MI Metro Area",541297,540737,540281
".Laredo, TX Metro Area",267114,267234,267945
".Las Cruces, NM Metro Area",219561,219899,221508
".Las Vegas-Henderson-Paradise, NV Metro Area",2265461,2273386,2292476
".Lawrence, KS Metro Area",118785,118814,119363
".Lawton, OK Metro Area",126652,126672,127543
".Lebanon, PA Metro Area",143257,143242,143493
".Lewiston, ID-WA Metro Area",64375,64378,64851
".Lewiston-Auburn, ME Metro Area",111139,111039,111034
".Lexington-Fayette, KY Metro Area",516811,517028,517846
".Lima, OH Metro Area",102206,102059,101670
".Lincoln, NE Metro Area",340217,340515,342117
".Little Rock-North Little Rock-Conway, AR Metro Area",748031,748434,750936
".Logan, UT-ID Metro Area",147348,147796,152083
".Longview, TX Metro Area",286184,286153,287868
".Longview, WA Metro Area",110730,110924,111524
".Los Angeles-Long Beach-Anaheim, CA Metro Area",13200998,13173266,12997353
"..Anaheim-Santa Ana-Irvine, CA Metro Division",3186989,3184101,3167809
"..Los Angeles-Long Beach-Glendale, CA Metro Division",10014009,9989165,9829544
".Louisville/Jefferson County, KY-IN Metro Area",1285439,1285058,1284566
".Lubbock, TX Metro Area",321368,322123,325245
".Lynchburg, VA Metro Area",261593,261408,262258
".Macon-Bibb County, GA Metro Area",233802,233592,233883
".Madera, CA Metro Area",156255,156620,159410
".Madison, WI Metro Area",680796,681484,683183
".Manchester-Nashua, NH Metro Area",422937,422705,424079
".Manhattan, KS Metro Area",134046,134135,133932
".Mankato, MN Metro Area",103566,103663,103612
".Mansfield, OH Metro Area",124936,124840,125195
".McAllen-Edinburg-Mission, TX Metro Area",870781,872204,880356
".Medford, OR Metro Area",223259,223394,223734
".Memphis, TN-MS-AR Metro Area",1337779,1337311,1336103
".Merced, CA Metro Area",281202,281726,286461
".Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6138333,6126441,6091747
"..Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division",1944375,1941516,1930983
"..Miami-Miami Beach-Kendall, FL Metro Division",2701767,2692459,2662777
"..West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division",1492191,1492466,1497987
".Michigan City-La Porte, IN Metro Area",112417,112222,112390
".Midland, MI Metro Area",83494,83476,83457
".Midland, TX Metro Area",175220,175471,173180
".Milwaukee-Waukesha, WI Metro Area",1574731,1573598,1566487
".Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3690261,3692421,3690512
".Missoula, MT Metro Area",117922,118238,119533
".Mobile, AL Metro Area",430197,429546,428220
".Modesto, CA Metro Area",552878,552710,552999
".Monroe, LA Metro Area",207104,206557,204884
".Monroe, MI Metro Area",154809,154796,155274
".Montgomery, AL Metro Area",386047,385738,385798
".Morgantown, WV Metro Area",140038,140092,140745
".Morristown, TN Metro Area",142709,142830,143855
".Mount Vernon-Anacortes, WA Metro Area",129523,129852,130696
".Muncie, IN Metro Area",111903,111669,111871
".Muskegon, MI Metro Area",175824,175817,176511
".Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",487722,491582,509794
".Napa, CA Metro Area",138019,137608,136207
".Naples-Marco Island, FL Metro Area",375752,377079,385980
".Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1989519,1995343,2012476
".New Bern, NC Metro Area",122168,121988,122273
".New Haven-Milford, CT Metro Area",864835,863498,863700
".New Orleans-Metairie, LA Metro Area",1271845,1270366,1261726
".New York-Newark-Jersey City, NY-NJ-PA Metro Area",20140470,20096413,19768458
"..Nassau County-Suffolk County, NY Metro Division",2921694,2918077,2917251
"..Newark, NJ-PA Metro Division",2280061,2276894,2273431
"..New Brunswick-Lakewood, NJ Metro Division",2489367,2488909,2500806
"..New York-Jersey City-White Plains, NY-NJ Metro Division",12449348,12412533,12076970
".Niles, MI Metro Area",154316,154095,153101
".North Port-Sarasota-Bradenton, FL Metro Area",833716,837107,859760
".Norwich-New London, CT Metro Area",268555,268248,268805
".Ocala, FL Metro Area",375908,377370,385915
".Ocean City, NJ Metro Area",95263,95077,95661
".Odessa, TX Metro Area",165171,165467,161091
".Ogden-Clearfield, UT Metro Area",694863,696620,706696
".Oklahoma City, OK Metro Area",1425695,1428709,1441647
".Olympia-Lacey-Tumwater, WA Metro Area",294793,295729,297977
".Omaha-Council Bluffs, NE-IA Metro Area",967604,968493,971637
".Orlando-Kissimmee-Sanford, FL Metro Area",2673376,2677687,2691925
".Oshkosh-Neenah, WI Metro Area",171730,171646,171623
".Owensboro, KY Metro Area",121559,121497,121227
".Oxnard-Thousand Oaks-Ventura, CA Metro Area",843843,842921,839784
".Palm Bay-Melbourne-Titusville, FL Metro Area",606612,608007,616628
".Panama City, FL Metro Area",175216,174461,179168
".Parkersburg-Vienna, WV Metro Area",89490,89179,88687
".Pensacola-Ferry Pass-Brent, FL Metro Area",509905,511557,516388
".Peoria, IL Metro Area",402391,401160,398224
".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6245051,6241983,6228601
"..Camden, NJ Metro Division",1287639,1287673,1292517
"..Montgomery County-Bucks County-Chester County, PA Metro Division",2037504,2037600,2045325
"..Philadelphia, PA Metro Division",2180627,2177393,2150100
"..Wilmington, DE-MD-NJ Metro Division",739281,739317,740659
".Phoenix-Mesa-Chandler, AZ Metro Area",4845832,4867925,4946145
".Pine Bluff, AR Metro Area",87751,87234,86412
".Pittsburgh, PA Metro Area",2370930,2367293,2353538
".Pittsfield, MA Metro Area",129026,128758,128657
".Pocatello, ID Metro Area",94896,95056,96213
".Portland-South Portland, ME Metro Area",551740,552089,556893
".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2512859,2516230,2511612
".Port St. Lucie, FL Metro Area",487657,489804,503521
".Poughkeepsie-Newburgh-Middletown, NY Metro Area",697221,697064,701637
".Prescott Valley-Prescott, AZ Metro Area",236209,237067,242253
".Providence-Warwick, RI-MA Metro Area",1676579,1675401,1675774
".Provo-Orem, UT Metro Area",671185,674967,697141
".Pueblo, CO Metro Area",168162,168467,169622
".Punta Gorda, FL Metro Area",186847,187960,194843
".Racine, WI Metro Area",197727,197440,196896
".Raleigh-Cary, NC Metro Area",1413982,1420225,1448411
".Rapid City, SD Metro Area",139074,139328,141979
".Reading, PA Metro Area",428849,428694,429342
".Redding, CA Metro Area",182155,181893,182139
".Reno, NV Metro Area",490596,491494,497535
".Richmond, VA Metro Area",1314434,1315734,1324062
".Riverside-San Bernardino-Ontario, CA Metro Area",4599839,4605504,4653105
".Roanoke, VA Metro Area",315251,315057,314496
".Rochester, MN Metro Area",226329,226515,227151
".Rochester, NY Metro Area",1090135,1088776,1084973
".Rockford, IL Metro Area",338798,338184,336278
".Rocky Mount, NC Metro Area",143870,143724,143535
".Rome, GA Metro Area",98584,98593,98771
".Sacramento-Roseville-Folsom, CA Metro Area",2397382,2399351,2411428
".Saginaw, MI Metro Area",190124,189831,189591
".St. Cloud, MN Metro Area",199671,199687,200406
".St. George, UT Metro Area",180279,181924,191226
".St. Joseph, MO-KS Metro Area",121467,121181,120424
".St. Louis, MO-IL Metro Area",2820253,2818267,2809299
".Salem, OR Metro Area",433353,434065,436283
".Salinas, CA Metro Area",439035,438500,437325
".Salisbury, MD-DE Metro Area",418046,419397,429223
".Salt Lake City, UT Metro Area",1257936,1259517,1263061
".San Angelo, TX Metro Area",122888,123010,122344
".San Antonio-New Braunfels, TX Metro Area",2558143,2566683,2601788
".San Diego-Chula Vista-Carlsbad, CA Metro Area",3298634,3297252,3286069
".San Francisco-Oakland-Berkeley, CA Metro Area",4749008,4739649,4623264
"..Oakland-Berkeley-Livermore, CA Metro Division",2848280,2845406,2809969
"..San Francisco-San Mateo-Redwood City, CA Metro Division",1638407,1632467,1553089
"..San Rafael, CA Metro Division",262321,261776,260206
".San Jose-Sunnyvale-Santa Clara, CA Metro Area",2000468,1995105,1952185
".San Luis Obispo-Paso Robles, CA Metro Area",282424,282231,283159
".Santa Cruz-Watsonville, CA Metro Area",270861,270353,267792
".Santa Fe, NM Metro Area",154823,154977,155201
".Santa Maria-Santa Barbara, CA Metro Area",448229,448096,446475
".Santa Rosa-Petaluma, CA Metro Area",488863,488345,485887
".Savannah, GA Metro Area",404798,405053,410008
".Scranton--Wilkes-Barre, PA Metro Area",567559,566574,567750
".Seattle-Tacoma-Bellevue, WA Metro Area",4018762,4024730,4011553
"..Seattle-Bellevue-Kent, WA Metro Division",3097632,3101902,3085845
"..Tacoma-Lakewood, WA Metro Division",921130,922828,925708
".Sebastian-Vero Beach, FL Metro Area",159788,160345,163662
".Sebring-Avon Park, FL Metro Area",101235,101222,103296
".Sheboygan, WI Metro Area",118034,117937,117747
".Sherman-Denison, TX Metro Area",135543,136014,139336
".Shreveport-Bossier City, LA Metro Area",393406,392525,389155
".Sierra Vista-Douglas, AZ Metro Area",125447,125398,126050
".Sioux City, IA-NE-SD Metro Area",149940,149743,149265
".Sioux Falls, SD Metro Area",276730,277458,281958
".South Bend-Mishawaka, IN-MI Metro Area",324501,324112,323695
".Spartanburg, SC Metro Area",327997,329364,335864
".Spokane-Spokane Valley, WA Metro Area",585784,587266,593466
".Springfield, IL Metro Area",208640,208277,206898
".Springfield, MA Metro Area",699162,697960,695305
".Springfield, MO Metro Area",475432,476128,481483
".Springfield, OH Metro Area",136001,135719,135633
".State College, PA Metro Area",158172,157929,157527
".Staunton, VA Metro Area",125433,125591,125774
".Stockton, CA Metro Area",779233,780517,789410
".Sumter, SC Metro Area",136700,136510,135782
".Syracuse, NY Metro Area",662057,660894,658281
".Tallahassee, FL Metro Area",384298,384546,385776
".Tampa-St. Petersburg-Clearwater, FL Metro Area",3175275,3183385,3219514
".Terre Haute, IN Metro Area",185031,184784,184910
".Texarkana, TX-AR Metro Area",147519,147333,147174
".The Villages, FL Metro Area",129752,130897,135638
".Toledo, OH Metro Area",646604,645819,644217
".Topeka, KS Metro Area",233152,232747,232670
".Trenton-Princeton, NJ Metro Area",387340,386759,385898
".Tucson, AZ Metro Area",1043433,1045599,1052030
".Tulsa, OK Metro Area",1015331,1016589,1023988
".Tuscaloosa, AL Metro Area",268674,268711,268191
".Twin Falls, ID Metro Area",114283,114501,116905
".Tyler, TX Metro Area",233479,234063,237186
".Urban Honolulu, HI Metro Area",1016508,1013227,1000890
".Utica-Rome, NY Metro Area",292264,291702,290211
".Valdosta, GA Metro Area",148126,148160,149152
".Vallejo, CA Metro Area",453491,453274,451716
".Victoria, TX Metro Area",98331,98241,98127
".Vineland-Bridgeton, NJ Metro Area",154152,153848,153627
".Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1799674,1800081,1803328
".Visalia, CA Metro Area",473117,473736,477054
".Waco, TX Metro Area",277547,277984,280428
".Walla Walla, WA Metro Area",62584,62574,62682
".Warner Robins, GA Metro Area",191614,192277,195246
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6385162,6385714,6356434
"..Frederick-Gaithersburg-Rockville, MD Metro Division",1333778,1333980,1334662
"..Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",5051384,5051734,5021772
".Waterloo-Cedar Falls, IA Metro Area",168461,168266,167796
".Watertown-Fort Drum, NY Metro Area",116721,116134,116295
".Wausau-Weston, WI Metro Area",166428,166328,166189
".Weirton-Steubenville, WV-OH Metro Area",116903,116595,115585
".Wenatchee, WA Metro Area",122012,122183,123342
".Wheeling, WV-OH Metro Area",139513,138943,137740
".Wichita, KS Metro Area",647610,647921,647919
".Wichita Falls, TX Metro Area",148128,148348,149013
".Williamsport, PA Metro Area",114188,113980,113605
".Wilmington, NC Metro Area",285905,286623,291833
".Winchester, VA-WV Metro Area",142632,142841,145155
".Winston-Salem, NC Metro Area",675966,676369,681438
".Worcester, MA-CT Metro Area",978529,977701,978447
".Yakima, WA Metro Area",256728,256533,256035
".York-Hanover, PA Metro Area",456438,456389,458696
".Youngstown-Warren-Boardman, OH-PA Metro Area",541243,539686,538069
".Yuba City, CA Metro Area",181208,181412,182484
".Yuma, AZ Metro Area",203881,204437,206990
,,,
Puerto Rico,3285874,3281538,3263584
.In Metropolitan Statistical Area,3175561,3171227,3153305
"..Aguadilla-Isabela, PR Metro Area",310160,309773,307788
"..Arecibo, PR Metro Area",182705,182574,182014
"..Guayama, PR Metro Area",68442,68367,68178
"..Mayagüez, PR Metro Area",97605,97335,96270
"..Ponce, PR Metro Area",224142,223553,221222
"..San Germán, PR Metro Area",125100,124989,124644
"..San Juan-Bayamón-Caguas, PR Metro Area",2081265,2078738,2068451
"..Yauco, PR Metro Area",86142,85898,84738
"Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and (for the U.S. only) 2020 Demographic Analysis estimates.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  The Office of Management and Budget's statistical area delineations for metropolitan, micropolitan, and combined statistical areas, as well as metropolitan divisions, are those issued by that agency in March 2020.  ",,,
Suggested Citation:,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2020 to July 1, 2021 (CBSA-MET-EST2021-POP)",,,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: March 2022,,,
